Otwarcie;Maks.;Min.;Kurs;Zm.proc.;Wolumen;Data
34,00;35,50;34,00;35,39;2,91%;1897;2010-05-24;
33,20;34,50;32,51;34,39;-0,29%;24455;2010-05-21;
38,00;38,00;34,00;34,49;-8,03%;8273;2010-05-20;
38,38;38,38;37,50;37,50;-2,72%;746;2010-05-19;
38,10;38,60;37,51;38,55;1,45%;544;2010-05-18;
38,00;38,69;37,60;38,00;-2,54%;921;2010-05-17;
38,50;38,99;38,20;38,99;0,23%;456;2010-05-14;
39,00;39,00;38,50;38,90;2,37%;568;2010-05-13;
38,99;38,99;37,71;38,00;0,77%;1254;2010-05-12;
38,99;38,99;37,71;37,71;-3,28%;1889;2010-05-11;
37,01;39,00;37,01;38,99;2,61%;3564;2010-05-10;
35,50;38,00;34,75;38,00;2,43%;11600;2010-05-07;
37,81;38,50;37,10;37,10;-4,38%;4963;2010-05-06;
40,10;40,30;38,80;38,80;-5,34%;6956;2010-05-05;
42,00;42,00;40,00;40,99;-2,40%;1981;2010-05-04;
41,50;42,00;41,50;42,00;1,20%;2971;2010-04-30;
41,50;41,50;40,17;41,50;1,47%;2581;2010-04-29;
40,49;40,90;39,80;40,90;-1,68%;4646;2010-04-28;
41,49;41,90;40,80;41,60;0,24%;2125;2010-04-27;
40,57;41,50;40,00;41,50;1,49%;4400;2010-04-26;
40,29;40,89;39,35;40,89;2,23%;1023;2010-04-23;
40,40;40,40;39,60;40,00;-1,43%;4033;2010-04-22;
40,99;40,99;40,10;40,58;0,95%;1042;2010-04-21;
41,50;41,50;40,11;40,20;-3,09%;4873;2010-04-20;
39,90;42,50;38,25;41,48;3,96%;11488;2010-04-19;
41,50;41,50;39,61;39,90;-4,09%;90070;2010-04-16;
43,20;43,50;41,60;41,60;-2,58%;51994;2010-04-15;
43,10;43,30;42,60;42,70;-0,93%;4571;2010-04-14;
43,40;43,40;42,25;43,10;0,23%;2787;2010-04-13;
40,15;43,80;39,95;43,00;3,66%;5780;2010-04-12;
41,40;41,67;40,20;41,48;-0,05%;2185;2010-04-09;
40,79;42,80;40,20;41,50;1,67%;11471;2010-04-08;
40,90;41,00;39,20;40,82;0,79%;17413;2010-04-07;
39,50;41,00;38,60;40,50;2,92%;5884;2010-04-06;
